pl_name,ra,dec,sy_dist,sy_plx
Kepler-1720 b,296.8086813,47.1718557,629.4450000,1.5600100
Kepler-1721 b,283.5441984,45.2256548,641.3740000,1.5304600
Kepler-1722 b,296.6627402,41.2611985,772.2830000,1.2666300
Kepler-1723 b,294.4627362,46.8214022,811.2780000,1.2038900
Kepler-1724 b,296.1207272,47.9214736,1060.7700000,0.9142470
Kepler-1725 b,294.3735518,40.1946345,558.6520000,1.7613100
Kepler-1726 b,284.3861498,45.7197342,390.5520000,2.5315900
Kepler-1727 b,290.3336142,38.7282722,894.1870000,1.0901900
Kepler-1728 b,287.0940046,39.0607801,651.7830000,1.5056600
Kepler-1729 b,296.6939428,42.6261145,576.1810000,1.7078500
Kepler-173 b,294.6466171,41.8840952,833.1650000,1.1718000
Kepler-173 c,294.6466171,41.8840952,833.1650000,1.1718000
Kepler-1730 b,281.9605834,43.7030386,1427.0800000,0.6721400
Kepler-1731 b,291.2544229,36.7434302,169.9480000,5.8553000
Kepler-1732 b,292.2910129,37.5807686,1289.4100000,0.7475250
Kepler-1733 b,291.1384628,37.8592447,2080.5100000,0.4525850
Kepler-1734 b,294.1631670,41.4517316,1482.8300000,0.6463450
Kepler-1735 b,281.0503476,47.1882005,245.3030000,4.0478500
Kepler-1736 b,289.7766991,38.2622374,1430.0000000,0.6709600
Kepler-1738 b,296.1313474,47.4388098,1302.8700000,0.7393370
Kepler-1739 b,296.2320536,47.6788626,783.6660000,1.2475700
Kepler-174 b,287.4389454,43.8320052,384.7570000,2.5702400
Kepler-174 c,287.4389454,43.8320052,384.7570000,2.5702400
Kepler-174 d,287.4389454,43.8320052,384.7570000,2.5702400
Kepler-1740 b,293.8736630,38.9224548,1061.7700000,0.9144000
Kepler-1741 b,292.5770730,39.1209390,270.7390000,3.6652600
Kepler-1742 b,286.9668086,44.9924315,669.5730000,1.4648000
Kepler-1743 b,290.5523552,48.1262575,538.8070000,1.8272700
Kepler-1744 b,291.0206823,42.4624633,1091.6300000,0.8877170
Kepler-1745 b,293.4689924,42.8223582,996.1050000,0.9757430
Kepler-1746 b,288.3203979,42.2613874,979.5410000,0.9921750
Kepler-1747 b,284.2096557,45.2580820,1321.3800000,0.7284150
Kepler-1748 b,285.9678970,45.7390789,1083.2800000,0.8950870
Kepler-1749 b,290.2945805,45.5645196,268.2000000,3.6997300
Kepler-175 b,289.5532320,43.8761160,1312.3400000,0.7334670
